created,id,updated,name,doctype,docstatus,data,_allowed,_allowed_read,owner,files
2026-03-21 21:32:04.790Z,rolesystemmanag,2026-05-24 23:00:47.805Z,rolesystemmanag,Role,0,"{
  ""docstatus"": 0,
  ""doctype"": ""Role"",
  ""id"": ""rolesystemmanag"",
  ""role_name"": ""System Manager""
}",[],"[""roleispublixxxx""]",,[]
2026-05-24 22:48:24.613Z,roleispublixxxx,2026-05-24 22:48:49.408Z,roleispublixxxx,Role,0,"{
  ""role_name"": ""Public""
}",[],"[""roleispublixxxx""]",,[]
2026-05-24 22:52:50.756Z,user0ipgefxq0st,2026-05-24 22:52:50.756Z,user0ipgefxq0st,User,0,"{""docstatus"":0,""doctype"":""User"",""email"":""denis3@test.com"",""id"":""user0ipgefxq0st"",""name"":""Denis Two""}","[""rolesystemmanag""]",[],,[]
2026-05-24 22:52:50.758Z,uses0ipgefxq0st,2026-05-24 22:52:50.758Z,uses0ipgefxq0st,UserSettings,0,"{""email"":""denis3@test.com"",""user"":""user0ipgefxq0st""}","[""user0ipgefxq0st""]",[],user0ipgefxq0st,[]
2026-05-24 22:52:50.767Z,usep0ipgefxq0st,2026-05-24 22:52:50.767Z,usep0ipgefxq0st,UserPublicProfile,0,"{""_state"":{""1"":1,""1.0_1"":""1""},""creation"":1779663170766,""full_name"":""Denis Two"",""modified"":1779663170766,""modified_by"":""user0ipgefxq0st""}",[],"[""roleispublixxxx""]",user0ipgefxq0st,[]
2026-05-24 23:01:29.292Z,rolepublicxxxxx,2026-05-24 23:01:29.292Z,rolepublicxxxxx,Role,0,"{""role_name"":""Public""}",[],"[""roleispublixxxx""]",,[]
2026-05-24 23:01:29.298Z,roleallxxxxxxxx,2026-05-24 23:01:29.298Z,roleallxxxxxxxx,Role,0,"{""role_name"":""All""}",[],"[""roleispublixxxx""]",,[]
2026-05-24 23:01:29.305Z,roleitemmanagxx,2026-05-24 23:01:29.305Z,roleitemmanagxx,Role,0,"{""role_name"":""Item Manager""}",[],"[""roleispublixxxx""]",,[]
2026-05-24 23:01:29.312Z,rolestockmanagx,2026-05-24 23:01:29.312Z,rolestockmanagx,Role,0,"{""role_name"":""Stock Manager""}",[],"[""roleispublixxxx""]",,[]
2026-05-24 23:01:29.326Z,rolestockuserxx,2026-05-24 23:01:29.326Z,rolestockuserxx,Role,0,"{""role_name"":""Stock User""}",[],"[""roleispublixxxx""]",,[]
2026-05-24 23:01:29.332Z,rolesalesuserxx,2026-05-24 23:01:29.332Z,rolesalesuserxx,Role,0,"{""role_name"":""Sales User""}",[],"[""roleispublixxxx""]",,[]
2026-05-24 23:01:29.337Z,rolepurchauserx,2026-05-24 23:01:29.337Z,rolepurchauserx,Role,0,"{""role_name"":""Purchase User""}",[],"[""roleispublixxxx""]",,[]
2026-05-24 23:01:29.343Z,roleaccounuserx,2026-05-24 23:01:29.343Z,roleaccounuserx,Role,0,"{""role_name"":""Accounts User""}",[],"[""roleispublixxxx""]",,[]
2026-05-24 23:01:29.350Z,roledeskuserxxx,2026-05-24 23:01:29.350Z,roledeskuserxxx,Role,0,"{""role_name"":""Desk User""}",[],"[""roleispublixxxx""]",,[]
2026-05-24 23:01:29.360Z,roleeventmanagx,2026-05-24 23:01:29.360Z,roleeventmanagx,Role,0,"{""role_name"":""Event Manager""}",[],"[""roleispublixxxx""]",,[]
2026-05-24 23:01:29.366Z,roleprojecuserx,2026-05-24 23:01:29.366Z,roleprojecuserx,Role,0,"{""role_name"":""Projects User""}",[],"[""roleispublixxxx""]",,[]
2026-05-24 23:01:29.373Z,roleprojecmanag,2026-05-24 23:01:29.373Z,roleprojecmanag,Role,0,"{""role_name"":""Projects Manager""}",[],"[""roleispublixxxx""]",,[]
2026-05-24 23:01:29.380Z,roleemployeexxx,2026-05-24 23:01:29.380Z,roleemployeexxx,Role,0,"{""role_name"":""Employee""}",[],"[""roleispublixxxx""]",,[]
2026-05-24 23:01:29.386Z,rolesalesmanagx,2026-05-24 23:01:29.386Z,rolesalesmanagx,Role,0,"{""role_name"":""Sales Manager""}",[],"[""roleispublixxxx""]",,[]
2026-05-24 23:01:29.395Z,rolesalesmasman,2026-05-24 23:01:29.395Z,rolesalesmasman,Role,0,"{""role_name"":""Sales Master Manager""}",[],"[""roleispublixxxx""]",,[]
2026-05-24 23:01:29.401Z,roleaccounmanag,2026-05-24 23:01:29.401Z,roleaccounmanag,Role,0,"{""role_name"":""Accounts Manager""}",[],"[""roleispublixxxx""]",,[]
2026-05-24 23:01:29.407Z,roleauditorxxxx,2026-05-24 23:01:29.407Z,roleauditorxxxx,Role,0,"{""role_name"":""Auditor""}",[],"[""roleispublixxxx""]",,[]
2026-05-24 23:01:29.413Z,roleusermanagxx,2026-05-24 23:01:29.413Z,roleusermanagxx,Role,0,"{""role_name"":""User Manager""}",[],"[""roleispublixxxx""]",,[]
2026-05-24 23:01:29.419Z,roleinboxuserxx,2026-05-24 23:01:29.419Z,roleinboxuserxx,Role,0,"{""role_name"":""Inbox User""}",[],"[""roleispublixxxx""]",,[]
2026-05-24 23:01:29.425Z,rolemainteuserx,2026-05-24 23:01:29.425Z,rolemainteuserx,Role,0,"{""role_name"":""Maintenance User""}",[],"[""roleispublixxxx""]",,[]
2026-05-24 23:04:40.594Z,rolemanufauserx,2026-05-24 23:04:40.594Z,rolemanufauserx,Role,0,"{""role_name"":""Manufacturing User""}",[],"[""roleispublixxxx""]",,[]
2026-05-24 23:04:40.767Z,rolesupporteamx,2026-05-24 23:04:40.767Z,rolesupporteamx,Role,0,"{""role_name"":""Support Team""}",[],"[""roleispublixxxx""]",,[]
2026-05-24 23:04:40.936Z,rolechildmanagx,2026-05-24 23:04:40.936Z,rolechildmanagx,Role,0,"{""role_name"":""Child Manager""}",[],"[""roleispublixxxx""]",,[]
2026-05-24 23:04:41.125Z,roleadministrat,2026-05-24 23:04:41.125Z,roleadministrat,Role,0,"{""role_name"":""Administrator""}",[],"[""roleispublixxxx""]",,[]
2026-05-24 23:04:41.294Z,roleuserxxxxxxx,2026-05-24 23:04:41.294Z,roleuserxxxxxxx,Role,0,"{""role_name"":""User""}",[],"[""roleispublixxxx""]",,[]
